Hero,Total Picks,Wins,Losses,Bans
Abaddon,12,5,7,7
Alchemist,6,2,4,7
Ancient Apparition,1,0,1,9
Anti-Mage,4,1,3,15
Arc Warden,7,4,3,4
Axe,3,1,2,2
Bane,14,5,9,1
Batrider,114,60,54,380
Beastmaster,85,38,47,295
Bloodseeker,41,17,24,195
Bounty Hunter,9,5,4,9
Brewmaster,21,11,10,34
Bristleback,4,2,2,2
Broodmother,94,54,40,432
Centaur Warrunner,56,27,29,64
Chaos Knight,41,19,22,51
Chen,8,2,6,2
Clinkz,0,0,0,0
Clockwerk,124,64,60,74
Crystal Maiden,101,46,55,30
Dark Seer,41,18,23,75
Dark Willow,21,12,9,2
Dawnbreaker,32,13,19,34
Dazzle,5,2,3,3
Death Prophet,165,83,82,184
Disruptor,95,55,40,29
Doom,70,27,43,108
Dragon Knight,47,15,32,31
Drow Ranger,82,38,44,172
Earth Spirit,22,8,14,5
Earthshaker,20,13,7,4
Elder Titan,9,5,4,1
Ember Spirit,153,80,73,277
Enchantress,59,31,28,50
Enigma,67,41,26,126
Faceless Void,38,18,20,119
Grimstroke,6,0,6,0
Gyrocopter,10,2,8,7
Hoodwink,91,37,54,61
Huskar,4,3,1,27
Invoker,33,16,17,50
Io,17,10,7,25
Jakiro,15,5,10,1
Juggernaut,4,0,4,6
Keeper of the Light,39,24,15,23
Kunkka,38,16,22,61
Legion Commander,24,5,19,32
Leshrac,95,55,40,128
Lich,9,2,7,1
Lifestealer,14,6,8,50
Lina,150,84,66,419
Lion,12,8,4,0
Lone Druid,7,6,1,8
Luna,9,5,4,6
Lycan,30,16,14,83
Magnus,49,20,29,56
Marci,79,46,33,66
Mars,76,28,48,79
Medusa,7,1,6,5
Meepo,1,0,1,2
Mirana,154,76,78,99
Monkey King,61,31,30,146
Morphling,66,35,31,145
Naga Siren,72,38,34,254
Nature's Prophet,176,94,82,233
Necrophos,2,0,2,0
Night Stalker,4,1,3,14
Nyx Assassin,17,10,7,11
Ogre Magi,12,3,9,3
Omniknight,14,10,4,5
Oracle,4,3,1,1
Outworld Destroyer,11,7,4,36
Pangolier,139,79,60,222
Phantom Assassin,6,2,4,4
Phantom Lancer,11,7,4,19
Phoenix,87,41,46,66
Primal Beast,84,42,42,97
Puck,62,37,25,142
Pudge,29,17,12,42
Pugna,14,8,6,9
Queen of Pain,18,5,13,63
Razor,12,6,6,14
Riki,90,53,37,109
Rubick,303,148,155,174
Sand King,2,1,1,0
Shadow Demon,30,11,19,19
Shadow Fiend,56,26,30,86
Shadow Shaman,5,5,0,0
Silencer,85,40,45,54
Skywrath Mage,18,10,8,9
Slardar,4,1,3,0
Slark,48,24,24,218
Snapfire,152,83,69,90
Sniper,48,27,21,132
Spectre,33,14,19,80
Spirit Breaker,28,14,14,20
Storm Spirit,36,17,19,46
Sven,36,12,24,10
Techies,34,14,20,17
Templar Assassin,40,25,15,90
Terrorblade,61,32,29,134
Tidehunter,41,23,18,78
Timbersaw,52,27,25,124
Tinker,3,1,2,5
Tiny,219,116,103,139
Treant Protector,225,122,103,190
Troll Warlord,39,17,22,41
Tusk,222,99,123,152
Underlord,22,11,11,13
Undying,130,66,64,88
Ursa,84,44,40,202
Vengeful Spirit,6,2,4,2
Venomancer,9,4,5,6
Viper,22,11,11,112
Visage,40,22,18,48
Void Spirit,22,10,12,8
Warlock,2,2,0,0
Weaver,10,3,7,10
Windranger,8,2,6,1
Winter Wyvern,2,0,2,2
Witch Doctor,3,2,1,1
Wraith King,10,7,3,4
Zeus,45,18,27,50
