Hero,Total Picks,Wins,Losses,Bans
Death Prophet,31,18,13,24
Rubick,31,15,16,31
Tiny,31,14,17,17
Clockwerk,27,17,10,14
Treant Protector,26,12,14,18
Tusk,23,13,10,19
Mirana,22,8,14,3
Ember Spirit,20,14,6,26
Hoodwink,20,12,8,7
Primal Beast,20,10,10,14
Leshrac,19,13,6,21
Nature's Prophet,19,9,10,23
Snapfire,18,13,5,8
Batrider,18,4,14,34
Lina,16,9,7,46
Beastmaster,15,7,8,40
Silencer,14,7,7,13
Ursa,13,6,7,28
Techies,13,5,8,6
Enchantress,12,8,4,16
Pangolier,12,5,7,14
Riki,12,5,7,19
Crystal Maiden,11,7,4,6
Doom,11,5,6,18
Sniper,10,8,2,26
Terrorblade,10,7,3,12
Naga Siren,10,6,4,23
Centaur Warrunner,9,3,6,16
Drow Ranger,9,2,7,22
Dark Seer,7,5,2,18
Dragon Knight,7,3,4,7
Magnus,7,3,4,15
Faceless Void,7,2,5,16
Undying,7,2,5,3
Zeus,7,2,5,12
Chaos Knight,6,4,2,7
Morphling,6,4,2,23
Monkey King,6,3,3,13
Visage,6,3,3,7
Timbersaw,6,2,4,27
Bloodseeker,5,3,2,31
Disruptor,5,3,2,1
Tidehunter,5,3,2,12
Broodmother,5,2,3,64
Pugna,5,2,3,6
Spirit Breaker,4,3,1,2
Shadow Demon,4,2,2,2
Legion Commander,4,1,3,4
Shadow Fiend,4,1,3,1
Troll Warlord,4,1,3,0
Dawnbreaker,3,2,1,2
Dazzle,3,2,1,2
Keeper of the Light,3,2,1,1
Outworld Destroyer,3,2,1,15
Pudge,3,2,1,3
Queen of Pain,3,2,1,6
Wraith King,3,2,1,1
Io,3,1,2,2
Lich,3,1,2,0
Lifestealer,3,1,2,6
Spectre,3,1,2,3
Kunkka,3,0,3,4
Sven,3,0,3,1
Slark,2,2,0,26
Bane,2,1,1,0
Enigma,2,1,1,8
Luna,2,1,1,1
Lycan,2,1,1,16
Marci,2,1,1,1
Vengeful Spirit,2,1,1,1
Viper,2,1,1,9
Mars,2,0,2,2
Medusa,2,0,2,1
Storm Spirit,2,0,2,2
Axe,1,1,0,0
Chen,1,1,0,0
Invoker,1,1,0,4
Omniknight,1,1,0,0
Phantom Lancer,1,1,0,0
Puck,1,1,0,2
Skywrath Mage,1,1,0,3
Abaddon,1,0,1,0
Dark Willow,1,0,1,0
Earth Spirit,1,0,1,0
Huskar,1,0,1,7
Jakiro,1,0,1,0
Phoenix,1,0,1,1
Razor,1,0,1,2
Slardar,1,0,1,0
Templar Assassin,1,0,1,4
Tinker,1,0,1,2
Underlord,1,0,1,0
Weaver,1,0,1,1
Windranger,1,0,1,0
Alchemist,0,0,0,2
Anti-Mage,0,0,0,2
Gyrocopter,0,0,0,1
Venomancer,0,0,0,1
