Hero,Total Picks,Wins,Losses,Bans
Rubick,82,35,47,49
Undying,78,42,36,50
Treant Protector,65,38,27,41
Nature's Prophet,58,31,27,86
Tusk,56,26,30,34
Tiny,55,31,24,37
Lina,45,27,18,116
Death Prophet,45,24,21,67
Enigma,44,26,18,69
Ember Spirit,42,20,22,65
Batrider,39,24,15,110
Pangolier,38,21,17,84
Leshrac,36,21,15,46
Snapfire,35,19,16,41
Clockwerk,32,16,16,19
Riki,32,15,17,38
Phoenix,30,14,16,22
Mirana,29,12,17,10
Puck,27,17,10,51
Drow Ranger,27,11,16,55
Naga Siren,26,12,14,80
Marci,23,13,10,36
Beastmaster,23,12,11,74
Silencer,23,8,15,10
Disruptor,22,15,7,14
Broodmother,22,13,9,141
Enchantress,22,13,9,19
Morphling,20,12,8,42
Ursa,19,9,10,62
Monkey King,19,8,11,23
Primal Beast,18,10,8,33
Terrorblade,18,8,10,46
Zeus,17,10,7,23
Timbersaw,17,7,10,31
Crystal Maiden,17,5,12,3
Hoodwink,16,7,9,8
Dragon Knight,16,5,11,11
Templar Assassin,15,10,5,32
Centaur Warrunner,15,8,7,15
Storm Spirit,15,8,7,20
Tidehunter,15,5,10,27
Troll Warlord,14,8,6,21
Doom,14,7,7,12
Magnus,14,4,10,11
Sniper,13,8,5,33
Spirit Breaker,13,5,8,9
Bloodseeker,12,5,7,46
Chaos Knight,11,6,5,15
Shadow Fiend,11,6,5,12
Slark,11,6,5,54
Techies,11,5,6,6
Shadow Demon,11,4,7,11
Mars,11,3,8,11
Dark Seer,10,3,7,16
Kunkka,10,1,9,20
Earthshaker,9,6,3,2
Lycan,9,6,3,24
Faceless Void,9,4,5,21
Spectre,9,2,7,14
Earth Spirit,8,3,5,3
Visage,8,3,5,17
Void Spirit,8,2,6,1
Dawnbreaker,7,4,3,5
Bounty Hunter,7,3,4,0
Io,7,3,4,2
Sven,7,3,4,3
Keeper of the Light,7,2,5,9
Underlord,6,4,2,3
Pudge,6,2,4,11
Queen of Pain,6,0,6,15
Lion,5,4,1,0
Abaddon,5,2,3,2
Elder Titan,5,2,3,1
Invoker,5,2,3,11
Phantom Lancer,4,2,2,6
Venomancer,4,2,2,0
Chen,4,1,3,0
Gyrocopter,4,1,3,5
Legion Commander,4,0,4,1
Skywrath Mage,3,3,0,2
Luna,3,2,1,0
Omniknight,3,2,1,2
Bristleback,3,1,2,2
Nyx Assassin,3,1,2,2
Lone Druid,2,2,0,0
Oracle,2,2,0,0
Pugna,2,2,0,0
Razor,2,2,0,3
Bane,2,1,1,0
Lifestealer,2,1,1,4
Phantom Assassin,2,1,1,1
Weaver,2,1,1,2
Alchemist,2,0,2,2
Anti-Mage,2,0,2,2
Viper,2,0,2,15
Arc Warden,1,1,0,0
Dark Willow,1,1,0,1
Shadow Shaman,1,1,0,0
Vengeful Spirit,1,1,0,0
Warlock,1,1,0,0
Windranger,1,1,0,0
Wraith King,1,1,0,0
Jakiro,1,0,1,0
Lich,1,0,1,0
Night Stalker,1,0,1,2
Slardar,1,0,1,0
Brewmaster,0,0,0,1
Huskar,0,0,0,3
Outworld Destroyer,0,0,0,6
Tinker,0,0,0,1
