Hero,Total Picks,Wins,Losses,Bans
Rubick,43,20,23,14
Mars,30,14,16,20
Snapfire,29,13,16,14
Tusk,29,11,18,19
Ember Spirit,28,16,12,29
Tiny,24,13,11,29
Mirana,22,11,11,10
Silencer,21,15,6,14
Crystal Maiden,21,10,11,7
Pangolier,19,11,8,24
Treant Protector,18,10,8,25
Broodmother,15,8,7,34
Disruptor,15,8,7,1
Lina,14,7,7,57
Shadow Fiend,14,6,8,24
Nature's Prophet,14,5,9,17
Monkey King,13,8,5,33
Terrorblade,13,7,6,28
Clockwerk,12,8,4,18
Dawnbreaker,12,5,7,17
Death Prophet,11,6,5,22
Beastmaster,11,5,6,31
Morphling,11,3,8,22
Timbersaw,10,9,1,26
Faceless Void,10,7,3,29
Sven,10,4,6,2
Ogre Magi,10,3,7,2
Undying,9,3,6,12
Underlord,8,3,5,6
Batrider,7,5,2,51
Spirit Breaker,7,4,3,7
Tidehunter,7,4,3,12
Ursa,7,4,3,19
Phoenix,7,3,4,1
Leshrac,6,5,1,12
Naga Siren,6,4,2,17
Earth Spirit,6,3,3,0
Puck,6,3,3,17
Templar Assassin,6,3,3,28
Troll Warlord,6,3,3,5
Doom,6,1,5,9
Hoodwink,6,1,5,13
Zeus,6,1,5,5
Primal Beast,5,3,2,5
Bloodseeker,5,2,3,19
Venomancer,5,2,3,4
Earthshaker,4,4,0,2
Chaos Knight,4,3,1,17
Drow Ranger,4,3,1,11
Jakiro,4,3,1,1
Storm Spirit,4,3,1,7
Dark Seer,4,2,2,4
Enchantress,4,2,2,1
Visage,4,2,2,3
Brewmaster,4,1,3,1
Windranger,4,1,3,0
Invoker,4,0,4,11
Dark Willow,3,3,0,0
Nyx Assassin,3,3,0,3
Enigma,3,2,1,8
Pudge,3,2,1,7
Riki,3,2,1,1
Magnus,3,1,2,3
Medusa,3,1,2,3
Queen of Pain,3,1,2,3
Slark,3,1,2,28
Gyrocopter,3,0,3,1
Keeper of the Light,2,2,0,2
Phantom Lancer,2,2,0,6
Kunkka,2,1,1,9
Lion,2,1,1,0
Sniper,2,1,1,6
Techies,2,1,1,1
Wraith King,2,1,1,2
Abaddon,2,0,2,1
Bane,2,0,2,0
Legion Commander,2,0,2,3
Shadow Demon,2,0,2,0
Lycan,1,1,0,2
Marci,1,1,0,0
Omniknight,1,1,0,0
Oracle,1,1,0,0
Outworld Destroyer,1,1,0,0
Void Spirit,1,1,0,0
Anti-Mage,1,0,1,0
Juggernaut,1,0,1,4
Luna,1,0,1,0
Phantom Assassin,1,0,1,1
Skywrath Mage,1,0,1,0
Spectre,1,0,1,2
Tinker,1,0,1,1
Viper,1,0,1,9
Ancient Apparition,0,0,0,1
Centaur Warrunner,0,0,0,1
Chen,0,0,0,1
Huskar,0,0,0,3
Lifestealer,0,0,0,9
Lone Druid,0,0,0,1
Meepo,0,0,0,1
Night Stalker,0,0,0,2
Razor,0,0,0,1
