Hero,Total Picks,Wins,Losses,Bans
Rubick,35,16,19,16
Tiny,32,18,14,16
Tusk,32,15,17,14
Mirana,26,15,11,37
Nature's Prophet,26,14,12,36
Treant Protector,26,12,14,32
Marci,24,17,7,9
Lina,23,10,13,47
Pangolier,21,13,8,20
Ember Spirit,21,11,10,46
Snapfire,21,11,10,3
Clockwerk,18,9,9,4
Batrider,17,11,6,48
Death Prophet,17,9,8,14
Disruptor,15,6,9,4
Hoodwink,14,7,7,7
Puck,14,6,8,36
Broodmother,13,9,4,47
Morphling,13,7,6,9
Keeper of the Light,12,8,4,6
Drow Ranger,12,5,7,35
Crystal Maiden,11,5,6,4
Doom,11,5,6,18
Primal Beast,11,5,6,10
Ursa,10,8,2,15
Centaur Warrunner,10,3,7,15
Phoenix,10,3,7,10
Templar Assassin,9,8,1,9
Monkey King,9,5,4,27
Spectre,9,5,4,21
Undying,9,5,4,7
Beastmaster,9,3,6,45
Riki,8,5,3,9
Dark Willow,8,3,5,1
Slark,8,3,5,31
Shadow Fiend,8,2,6,18
Visage,7,4,3,11
Kunkka,6,4,2,11
Brewmaster,6,3,3,21
Enchantress,6,3,3,4
Timbersaw,6,2,4,17
Naga Siren,5,4,1,37
Omniknight,5,4,1,2
Dragon Knight,5,2,3,1
Leshrac,5,1,4,6
Void Spirit,5,1,4,2
Mars,5,0,5,12
Arc Warden,4,3,1,2
Terrorblade,4,3,1,10
Viper,4,3,1,21
Sniper,4,2,2,17
Underlord,4,2,2,1
Bloodseeker,4,1,3,16
Magnus,4,1,3,7
Nyx Assassin,3,3,0,0
Night Stalker,3,1,2,8
Silencer,3,1,2,4
Troll Warlord,3,0,3,0
Bounty Hunter,2,2,0,8
Elder Titan,2,2,0,0
Tidehunter,2,2,0,7
Abaddon,2,1,1,1
Chaos Knight,2,1,1,1
Gyrocopter,2,1,1,0
Invoker,2,1,1,0
Io,2,1,1,1
Lifestealer,2,1,1,6
Chen,2,0,2,0
Dawnbreaker,2,0,2,4
Grimstroke,2,0,2,0
Legion Commander,2,0,2,3
Phantom Lancer,2,0,2,2
Queen of Pain,2,0,2,4
Shadow Demon,2,0,2,1
Storm Spirit,2,0,2,4
Weaver,2,0,2,1
Zeus,2,0,2,0
Bristleback,1,1,0,0
Enigma,1,1,0,6
Huskar,1,1,0,0
Pudge,1,1,0,6
Shadow Shaman,1,1,0,0
Skywrath Mage,1,1,0,0
Warlock,1,1,0,0
Wraith King,1,1,0,0
Ancient Apparition,1,0,1,3
Bane,1,0,1,0
Dark Seer,1,0,1,6
Dazzle,1,0,1,1
Earthshaker,1,0,1,0
Jakiro,1,0,1,0
Juggernaut,1,0,1,0
Luna,1,0,1,1
Meepo,1,0,1,1
Spirit Breaker,1,0,1,0
Vengeful Spirit,1,0,1,1
Faceless Void,0,0,0,13
Lycan,0,0,0,3
Razor,0,0,0,1
Winter Wyvern,0,0,0,1
